SubModelID,SubModelName
1396,GTLM
1397,RTL
1398,RT
1399,Hybrid Limited
1400,Daytona R/T
1401,SRT8
1402,Flying Spur
1403,Alpha
1405,Maxx LTZ
1406,Maxx SS
1407,Convenience
1408,Designer Series
1411,TRX4
1412,DuroCross
1413,X L.L. Bean Edition
1414,Outback Sport
1415,R VDC Limited
1416,Club Spec
1417,VDP Edition
1418,Portfolio
1419,Victory Edition
1420,Supercharged
1421,SX Premium
1422,XSport
1423,4.2i
1424,5.3i
1426,Adventurer
1427,2.4i
1428,LX Special Edition
1429,RTS
1430,LX-SV
1431,2.0T
1432,GT spec.B
1433,Value Edition
1434,3.6
1435,65th Anniversary Edition
1436,Roadster 3.0i
1437,Roadster 3.0si
1438,Executive GT
1439,Coupe 3.0si
1440,RTX
1441,Shelby GT500
1442,Classic LT
1443,EL Eddie Bauer
1444,EL Limited
1445,EL XLT
1449,WRX STI Limited
1450,Ocean Race
1451,V8 Ocean Race
1452,Evolution SE
1453,Unlimited Sahara
1454,Unlimited X
1455,Targa 4
1456,Targa 4S
1547,Land Cruiser
1548,Regal Deluxe
1549,Gran Deluxe
1550,Barchetta
1551,Spyder Corsa
1552,Freccia d'Oro
1553,Villa D'Este
1554,Continental
1555,Skyway
1556,Deluxstyle
1557,Delux-Tone
1558,Super
1559,Standard
1560,Ventoux
1561,Stelvio
1562,Speed Model
1563,Normale
1564,S Sport
1565,Targa Florio
1566,Mate
1567,Master
1568,Torpedo
1569,DA 1
1570,DA 2
1571,First Series
1572,Second Series
1573,SS Supercharged
1574,Light Six
1575,Auto Wagon
1576,5000 quattrovalvole
1577,Green Label
1578,Premiere
1579,Appearance
1580,SE 20th Anniversary Edition
1581,ES Limited
1582,Guard
1583,Mulliner
1586,Spec
1587,Green Line
1588,3.0si
1589,LP640
1590,Fiorano
1591,FX2
1592,Rocky Mountain Edition
1593,3.2
1594,S-Runner
1595,TRD Special Edition
1596,4.8i
1597,V8 Sport
1600,Super 90
1601,Constellation
1602,Caribbean Custom
1603,Mayfair
1604,Country Sedan
1605,Custom Constellation
1606,Panama
1607,Super Panama
1608,Town Sedan
1609,Pacific
1610,Corporate
1611,400
1612,880
1613,990
1614,Custom 400
1615,330
1616,440H
1617,Panel Delivery
1618,660
1619,SC/360
1620,SST Mark Donohue
1621,SST Trans Am
1622,Hurst SC/Rambler
1623,The Machine
1624,250
1625,600
1626,700
1627,700CS
1628,350
1630,Fleetmaster
1631,Type S-3
1632,Phoenix
1633,Inter
1634,Sports
1635,500XL
1636,Futura Sprint
1637,Fleet Special
1638,Vagabond
1639,Virginian
1640,Pullman
1641,404
1642,S-22
1643,S-33
1644,Custom S-55
1645,S-55
1646,Fleet
1647,Rebel
1648,Special Savoy
1649,Gran Sedan
1650,S-23
1651,Custom Safari
1652,Custom Safari Transcontinental
1653,Super Deluxe
1654,350 HO
1655,The Judge
1656,Safari Luxury
1657,GTO
1658,WRX TR
1659,2.5i Special Edition
1660,2.5i Limited
1661,2.5i Basic
1662,Bristol
1663,Super Berlina
1664,Super Sprint
1665,Berlina
1666,Speciale
1667,SZ
1668,TI
1669,TI Super
1670,Berlinette
1671,Spider Super
1672,Spider Veloce
1673,Sprint Speciale
1674,Sprint Veloce
1675,Sprint Zagato
1676,GT4
1677,R Type
1678,Legere
1679,Century
1680,Consort
1681,TV
1682,Lotus
1683,12M
1684,12M Super
1685,15M
1686,17M
1687,Type 48
1688,PW
1689,B10
1690,Farina
1691,Vignale
1692,B12
1693,B15
1694,B20
1695,B20 Series 2
1696,B20 Series 3
1697,B21
1698,B22
1699,B24 Spider
1700,GT 2500
1701,Zagato Sport
1702,HPE Rally
1703,S2 A
1704,S2 Cosworth
1705,Super Sports
1706,1000
1707,1000TT
1708,110
1709,30
1710,1100
1711,IV
1712,IV GT
1713,Le Mans
1714,MK IIA
1715,IIIA
1716,Corsa
1717,Lakewood
1718,Monza Spyder
1719,F2
1720,F2S
1721,FV3
1722,FV2
1723,FV3B
1724,FV2B
1725,FV4
1726,Shelby GT
1727,L Ultimate
1728,L Luxury
1729,2.00E+12
1730,3.00E+11
1731,5.00E+11
1732,6.00E+10
1733,7.00E+10
1734,8.00E+10
1735,2.00E+05
1736,2.00E+07
1737,3.00E+12
1738,3.00E+05
1739,3.00E+06
1740,3.00E+07
1741,3.00E+01
1742,4.00E+11
1743,4.00E+01
1744,4.00E+12
1745,4.00E+07
1746,4.00E+02
1747,4.00E+03
1748,5.00E+12
1749,5.00E+05
1750,5.00E+06
1751,5.00E+07
1752,6.00E+12
1753,6.00E+05
1754,6.00E+07
1755,7.00E+12
1756,7.00E+05
1757,7.00E+07
1758,8.00E+12
1759,8.00E+05
1760,8.00E+07
1785,DU
1786,DUL
1787,DULF
1788,EUL
1789,EULF
1790,B
1791,FL
1792,DUF
1793,DU6
1794,DUL6
1795,EUL6
1796,Utility Wagon
1797,Metroette
1798,Metro-Mite
1799,Travelall Custom
1800,500 XL
1801,Travelall
1857,3800
1863,3700
1874,3600
1878,3400
1885,3200
1896,Bluetec
1983,Barker
1984,Briggs
1985,Phase I
1986,MK V
1987,346
1988,MK VI
1989,MK VII
1990,Series I
1991,234
1992,236
1993,MK VIII
1994,Anzani
1995,Excelsior
1996,MK VIIIA
1997,Oceane
1998,Plein Ciel
1999,T603
2000,346 Limousine
2001,Minor
2002,Allemano
2003,Record Monza
2004,Series III
2005,Series IIIA
2006,Series IA
2008,Series IIIB
2009,Monte Carlo
2010,Nice
2011,Tiger
2012,2000 GT
2013,Series IIIC
2014,Town Custom
2015,Series IV
2016,Series V
2017,Competition
2018,2-603
2019,Bialbero
2020,OT
2021,OTR
2022,OTS
2023,GTE
2024,3 Litre
2029,GT3 RS
2030,LX Anniversary Edition
2031,700 Sport
2032,Nismo
2033,Funkmaster Flex Edition
2040,Superleggera
2068,PRO-4X
2074,2.5i L.L. Bean Edition
2075,Sports 2.5 X
2076,Sports 2.5 XT
2077,3.0 R Limited
2078,Black Series
2079,LT Panel
2080,LS Panel
2081,GT Speed
2082,Journey
2087,S Limited Edition
2088,Drophead Coupe
2089,SCX
2090,CR
2091,MUGEN Si
2092,TRX
2093,Scuderia
2102,WRX Limited
2104,Bullitt
2105,Komfort
2106,VR6
2107,Trail Teams Special Edition
2108,2.5i Limited L.L. Bean Edition
2109,Deluxe Eight
2110,Deluxe Six
2111,Eight
2112,Six
2113,Special Six
2114,EL King Ranch
2115,EWB
2116,One-Ton
2117,EX-L
2118,Evolution GSR
2119,Clubman
2120,S Clubman
2121,4Matic Sport
2122,4Matic Luxury
2123,X Limited
2124,X Premium
2126,xDrive35i
2127,Premium Luxury
2128,Shelby GT500KR
2129,Pure
2130,Passion
2131,427 Limited Edition Z06
2132,SRT-10 ACR
2133,xDrive50i
2134,Sport Edition
2135,Sport V6
2145,Passion Cabrio
2148,S Special Edition
2149,ALMS Edition
2150,ZX2 S/R
2151,Aero XWD
2152,Turbo X
2153,Max Eddie Bauer
2154,Max Limited
2155,XTR
2156,DX-G
2157,SE-L
2158,RS 60 Spyder
2159,GLS Sport
2160,X Sport
2161,S 240
2162,Sport GT S
2163,3.0 R
2164,2.5 XT
2165,2.5 X
2166,2.5 XS
2167,2.5 XS Premium
2168,3.2 Sport
2176,North Edition
2177,EX Convenience
2178,EX Sport
2179,EX Luxury
2180,EX Premium
2181,EX Power
2182,LX Convenience
2183,LX Premium
2184,LX Luxury
2185,GT-P
2186,Spyder GT-P
2189,SiR
2190,ZR1
2191,LP560-4
2192,3.8
2193,4.6
2194,SS Panel
2196,Flying Spur Speed
2197,Bluetec 4Matic
2198,LX-P
2199,LX-S
2200,Limited Hybrid
2201,2.5 GT
